lat,lon,landcover
63.51526049,14.23572301,AgriculturalArea
62.95364064,14.24630268,ForestNaturalAreas
63.20318608,14.24838196,ForestNaturalAreas
63.27048138,14.26192155,ForestNaturalAreas
60.79681448,14.2642117,ForestNaturalAreas
56.3352311,14.26775621,Water
62.54868914,14.28546459,ForestNaturalAreas
58.8048931,14.28710057,ForestNaturalAreas
58.4971943,14.28765236,ForestNaturalAreas
64.16711445,14.29132029,Water
60.83130919,14.29285165,ForestNaturalAreas
59.3480169,14.29517057,ForestNaturalAreas
59.68048191,14.29640658,ForestNaturalAreas
63.65615286,14.30845377,Water
61.17304701,14.30925171,ForestNaturalAreas
62.92117551,14.31716138,AgriculturalArea
59.62974148,14.31751264,ForestNaturalAreas
59.85722589,14.32283707,ForestNaturalAreas
63.87787961,14.32464314,Water
56.24854067,14.32812561,Water
61.50065698,14.33493588,ForestNaturalAreas
56.19760145,14.35300334,Water
56.0623677,14.35398879,Water
62.20678714,14.35672488,ForestNaturalAreas
